date,ate,bat,bp,con,dir1,dir2,dir3,dp,hs,lat,lon,mag1,mag2,mag3,psbe10,psbe100,psbe40,psbe70,rh,tdl,tp,tsbe10,tsbe100,tsbe20,tsbe30,tsbe40,tsbe50,tsbe60,tsbe70,tsbe80,tsbe90,tsup,wd,ws
2016-06-24 00:00:00,22.90,12.70,1018.40,442.00,233.00,177.00,184.00,66.00,1.96,-24.01,-41.34,278.00,169.00,186.00,11.05,101.56,41.42,71.28,69.90,25.40,6.98,23.97,21.76,23.97,21.57,24.01,24.01,24.06,24.20,24.21,22.61,24.00,230.00,0.90
2016-06-24 01:00:00,22.90,12.70,1018.40,449.00,200.00,153.00,147.00,78.00,2.11,-24.01,-41.34,239.00,181.00,163.00,10.87,101.25,40.26,70.53,69.90,25.40,6.52,24.01,21.87,24.01,21.57,24.02,24.09,24.14,24.33,24.28,22.79,24.00,230.00,0.90
2016-06-24 02:00:00,22.90,12.70,1018.40,457.00,239.00,73.00,298.00,87.00,1.97,-24.01,-41.34,152.00,10.00,44.00,11.61,101.93,40.66,71.18,69.90,25.40,6.49,24.07,21.75,24.08,21.57,24.15,24.13,24.35,24.32,23.10,22.28,24.00,230.00,0.90
2016-06-24 03:00:00,22.90,12.60,1018.40,457.00,233.00,24.00,311.00,90.00,2.15,-24.01,-41.34,204.00,22.00,11.00,11.09,102.31,41.54,71.01,69.90,25.30,6.94,23.97,21.53,23.98,21.57,23.99,23.98,24.00,24.32,23.25,21.99,24.00,230.00,0.90
2016-06-24 04:00:00,22.90,12.60,1018.40,450.00,229.00,194.00,198.00,85.00,1.92,-24.01,-41.34,247.00,69.00,111.00,11.20,101.15,39.82,71.43,69.90,25.30,6.15,23.88,21.65,23.88,21.57,23.90,23.99,24.11,24.34,23.74,22.31,24.00,230.00,0.90
2016-06-24 05:00:00,22.90,12.60,1018.40,450.00,218.00,192.00,196.00,95.00,1.91,-24.01,-41.34,235.00,120.00,162.00,11.63,101.36,41.08,71.03,69.90,25.30,6.74,23.80,21.66,23.81,21.57,23.87,24.17,24.38,24.38,23.92,22.50,23.89,230.00,0.90
2016-06-24 06:00:00,22.90,12.60,1018.40,457.00,229.00,225.00,222.00,86.00,1.95,-24.01,-41.34,282.00,91.00,126.00,10.94,101.80,41.02,71.46,69.90,25.30,6.63,23.75,21.86,23.75,21.57,24.38,24.38,24.38,24.35,23.79,22.41,23.79,230.00,0.90
2016-06-24 07:00:00,22.90,13.00,1018.40,479.00,219.00,207.00,206.00,71.00,1.96,-24.01,-41.34,318.00,101.00,126.00,11.16,100.94,41.62,71.10,69.90,25.30,7.27,23.83,21.60,23.87,21.57,24.38,24.37,24.39,24.29,23.22,22.25,23.79,230.00,0.90
2016-06-24 08:00:00,22.90,13.60,1018.40,506.00,227.00,NaN,7.00,51.00,1.85,-24.01,-41.34,329.00,NaN,36.00,10.74,101.60,41.03,70.56,69.90,25.80,6.12,23.99,21.96,24.02,21.57,24.36,24.41,24.33,24.36,23.15,22.42,23.89,230.00,0.90
2016-06-24 09:00:00,22.90,13.90,1018.40,492.00,229.00,NaN,NaN,29.00,1.95,-24.01,-41.34,426.00,NaN,NaN,11.24,101.26,41.03,71.68,69.90,27.00,6.42,24.07,21.97,24.08,21.57,24.51,24.44,24.40,24.27,22.87,22.46,23.89,230.00,0.90
2016-06-24 10:00:00,22.90,13.90,1018.40,492.00,228.00,221.00,NaN,19.00,1.85,-24.01,-41.34,473.00,172.00,NaN,11.19,101.53,41.62,71.10,69.90,28.40,5.56,24.34,21.86,24.32,21.57,24.33,24.42,24.42,24.10,23.18,22.38,24.10,230.00,0.90
2016-06-24 11:00:00,22.90,13.80,1018.40,499.00,223.00,202.00,NaN,8.00,1.56,-24.01,-41.34,506.00,175.00,NaN,11.15,100.65,40.84,71.04,69.90,29.70,6.19,24.38,21.58,24.37,21.57,24.38,24.40,24.42,24.40,22.83,22.28,24.39,230.00,0.90
2016-06-24 12:00:00,22.90,13.40,1018.40,499.00,202.00,NaN,338.00,358.00,1.95,-24.01,-41.34,412.00,NaN,145.00,11.31,100.91,41.26,70.93,69.90,30.80,5.41,24.32,21.58,24.32,21.57,24.31,24.37,24.42,24.38,23.31,22.20,24.39,230.00,0.90
2016-06-24 13:00:00,22.90,13.40,1018.40,492.00,220.00,253.00,245.00,17.00,1.58,-24.01,-41.34,445.00,141.00,133.00,11.30,101.27,40.24,70.52,69.90,31.20,6.42,23.98,21.61,23.99,21.57,24.43,24.38,24.46,24.46,23.66,22.30,24.29,230.00,0.90
2016-06-24 14:00:00,22.90,13.30,1018.40,491.00,214.00,338.00,NaN,10.00,1.78,-24.01,-41.34,385.00,118.00,NaN,11.36,100.54,40.95,71.26,69.90,31.40,6.42,23.91,21.37,23.94,21.57,24.12,24.63,24.53,24.43,23.00,22.11,24.00,230.00,0.90
2016-06-24 15:00:00,22.90,13.30,1018.40,490.00,208.00,10.00,11.00,15.00,1.68,-24.01,-41.34,341.00,40.00,36.00,11.47,101.34,41.13,71.61,69.90,30.30,6.67,23.78,21.46,23.82,21.57,24.26,24.57,24.53,24.42,23.26,22.23,23.89,230.00,0.90
2016-06-24 16:00:00,22.90,12.90,1018.40,470.00,197.00,196.00,87.00,30.00,2.07,-24.01,-41.34,284.00,127.00,102.00,10.97,101.97,40.41,70.71,69.90,28.90,6.45,23.68,21.47,23.78,21.57,24.39,24.50,24.48,24.43,23.29,22.23,23.70,230.00,0.90
2016-06-24 17:00:00,22.90,12.80,1018.40,462.00,198.00,198.00,200.00,32.00,2.09,-24.01,-41.34,381.00,224.00,208.00,11.28,101.05,40.61,70.91,69.90,27.70,6.56,23.57,21.38,23.67,21.57,24.28,24.31,24.38,24.42,23.24,22.17,23.60,230.00,0.90
2016-06-24 18:00:00,22.90,12.80,1018.40,467.00,190.00,192.00,184.00,45.00,1.81,-24.01,-41.34,350.00,188.00,208.00,11.06,101.14,40.90,71.57,69.90,26.70,6.67,23.52,21.15,23.72,21.57,24.30,24.32,24.36,23.24,22.11,21.36,23.50,230.00,0.90
2016-06-24 19:00:00,22.90,12.70,1018.40,471.00,193.00,211.00,203.00,48.00,1.71,-24.01,-41.34,233.00,153.00,146.00,10.84,101.79,41.83,71.54,69.90,25.90,6.42,23.43,21.26,23.62,21.57,24.31,24.32,24.33,23.83,22.24,21.70,23.10,230.00,0.90
2016-06-24 20:00:00,22.90,12.70,1018.40,485.00,226.00,231.00,240.00,78.00,1.70,-24.01,-41.34,181.00,81.00,73.00,11.37,100.64,41.21,71.34,69.90,25.50,7.06,23.01,21.48,23.52,21.57,24.39,24.34,24.36,23.67,22.40,21.94,23.00,230.00,0.90
2016-06-24 21:00:00,22.90,12.70,1018.40,481.00,206.00,204.00,206.00,88.00,1.71,-24.01,-41.34,360.00,251.00,247.00,10.46,101.44,41.12,70.76,69.90,25.30,6.70,23.26,21.71,23.56,21.57,24.55,24.40,24.42,24.28,22.44,22.08,23.00,230.00,0.90
2016-06-24 22:00:00,22.90,12.70,1018.40,462.00,215.00,218.00,214.00,86.00,1.77,-24.01,-41.34,293.00,202.00,215.00,11.59,102.05,41.13,71.29,69.90,25.30,6.74,23.22,21.71,23.58,21.57,24.58,24.53,24.47,24.45,22.94,22.02,23.00,230.00,0.90
2016-06-24 23:00:00,22.90,12.70,1018.40,454.00,215.00,222.00,209.00,104.00,1.99,-24.01,-41.34,356.00,239.00,216.00,11.67,101.70,41.14,71.20,69.90,25.30,6.00,23.23,21.68,23.74,21.57,24.64,24.56,24.53,24.46,23.04,22.31,22.89,230.00,0.90
2016-06-25 00:00:00,22.90,12.70,1018.40,456.00,217.00,215.00,212.00,111.00,1.98,-24.01,-41.35,338.00,181.00,141.00,11.85,100.92,40.97,71.15,69.90,25.30,5.80,23.29,21.86,23.80,21.57,24.65,24.63,24.54,24.32,23.32,22.33,22.79,230.00,0.90
2016-06-25 01:00:00,22.90,12.70,1018.40,457.00,209.00,195.00,220.00,105.00,1.90,-24.01,-41.35,292.00,169.00,151.00,11.27,101.23,41.92,71.66,69.90,25.30,6.74,23.18,22.19,23.73,21.57,24.58,24.57,24.54,24.39,23.71,22.64,22.79,230.00,0.90
2016-06-25 02:00:00,22.90,12.70,1018.40,459.00,200.00,194.00,197.00,108.00,1.95,-24.01,-41.35,309.00,207.00,231.00,10.84,100.68,41.32,70.70,69.90,25.30,6.49,22.96,22.42,23.54,21.57,24.57,24.50,24.49,24.47,24.16,22.86,22.89,230.00,0.90
2016-06-25 03:00:00,22.90,12.60,1018.40,447.00,204.00,184.00,190.00,108.00,1.89,-24.01,-41.35,260.00,155.00,175.00,11.53,101.02,40.72,71.03,69.90,25.30,6.45,22.99,22.11,23.51,21.57,24.53,24.39,24.37,24.42,23.10,22.55,22.79,230.00,0.90
2016-06-25 04:00:00,22.90,12.60,1018.40,447.00,205.00,177.00,180.00,109.00,1.86,-24.01,-41.35,238.00,165.00,196.00,11.54,101.52,39.97,70.30,69.90,25.20,19.36,22.95,22.14,23.26,21.57,24.15,24.35,24.34,24.32,23.09,22.45,22.79,230.00,0.90
