date,ate,bat,bp,con,dir1,dir2,dir3,dp,hs,lat,lon,mag1,mag2,mag3,psbe10,psbe100,rh,tdl,tp,tsbe10,tsbe100,tsbe20,tsbe30,tsbe40,tsbe50,tsbe60,tsbe70,tsbe80,tsbe90,tsup,wd,ws
2016-02-22 10:00:00,27.2,13.8,1015.3,326.0,,,-32431.0,359.0,1.67,-23.81443,-41.59738,,,39.0,-0.058,0.021,80.3,33.0,6.9,30.17,29.29,29.45,29.9,29.82,30.44,29.43,30.15,30.8,30.35,28.1,58.0,5.0
2016-02-22 11:00:00,27.3,13.8,1014.9,307.0,,,-32431.0,4.0,1.55,-23.79695,-41.58145,,,39.0,-0.055,0.018,80.0,33.7,5.9,32.96,30.6,31.87,32.19,32.32,33.27,32.36,32.56,33.69,34.57,,71.0,3.6
2016-02-22 12:00:00,27.5,13.3,1014.6,303.0,,,-32431.0,10.0,1.56,-23.79815,-41.59367,,,39.0,-0.055,0.018,79.1,34.6,6.4,32.96,30.6,31.87,32.19,32.32,33.27,32.36,32.56,33.69,34.57,,84.0,4.0
2016-02-22 13:00:00,27.6,13.3,1014.2,314.0,,,-32431.0,15.0,1.43,-23.80257,-41.59485,,,39.0,-0.055,0.018,77.4,35.4,6.9,32.96,30.6,31.87,32.19,32.32,33.27,32.36,32.56,33.69,34.57,,76.0,3.6
2016-02-22 14:00:00,26.9,13.3,1014.0,305.0,,,-32431.0,4.0,1.48,-23.8168,-41.59963,,,39.0,9.104,0.014,81.6,35.7,15.0,27.54,36.06,27.53,27.52,27.48,25.78,24.16,23.35,23.33,23.07,,31.0,9.7
2016-02-22 15:00:00,26.8,13.3,1013.7,314.0,237.0,194.0,222.0,335.0,1.49,-23.80675,-41.58743,552.0,327.0,289.0,10.623,94.024,83.0,35.4,5.8,27.53,18.67,27.52,27.07,23.67,22.96,22.32,21.74,20.75,19.32,28.1,36.0,9.7
2016-02-22 16:00:00,26.8,13.3,1013.5,307.0,282.0,96.0,344.0,313.0,1.54,-23.8068,-41.5874,311.0,183.0,40.0,10.529,94.387,83.2,34.7,12.8,27.48,19.24,27.49,27.48,23.36,22.91,22.32,21.82,21.29,20.37,27.5,40.0,9.9
2016-02-22 17:00:00,26.9,13.3,1013.7,311.0,264.0,83.0,77.0,279.0,1.44,-23.80692,-41.58733,197.0,262.0,107.0,10.826,95.0,83.3,33.9,6.5,27.45,19.21,27.45,26.16,23.37,23.19,22.44,22.02,21.23,20.71,27.39,48.0,9.6
2016-02-22 18:00:00,26.9,12.9,1014.2,313.0,278.0,73.0,16.0,258.0,1.38,-23.80688,-41.5874,193.0,156.0,40.0,10.395,94.639,83.3,33.2,6.5,27.47,19.33,27.45,25.09,23.34,22.87,22.41,21.97,21.49,20.89,27.39,47.0,9.3
2016-02-22 19:00:00,26.9,12.8,1014.6,318.0,271.0,83.0,299.0,249.0,1.28,-23.8069,-41.58735,209.0,46.0,43.0,10.81,96.098,83.3,32.5,5.9,27.48,20.47,27.48,26.15,23.29,22.65,22.35,21.97,21.23,20.6,27.39,49.0,9.9
2016-02-22 20:00:00,27.0,12.8,1015.3,317.0,255.0,274.0,281.0,249.0,1.25,-23.80682,-41.58733,211.0,28.0,55.0,10.553,97.378,83.1,32.0,5.4,27.48,20.27,27.46,24.57,23.27,22.43,22.23,21.86,21.18,20.47,27.39,44.0,9.3
2016-02-22 21:00:00,27.0,12.7,1016.2,312.0,243.0,191.0,203.0,244.0,1.19,-23.80688,-41.58733,248.0,32.0,28.0,10.173,97.491,83.3,31.6,7.1,27.48,20.01,27.47,25.96,23.25,22.38,22.12,21.41,20.74,20.16,27.39,39.0,9.0
2016-02-22 22:00:00,26.9,12.7,1016.9,328.0,253.0,164.0,289.0,239.0,1.33,-23.80683,-41.58727,237.0,15.0,60.0,11.137,98.125,83.8,31.4,12.1,27.49,19.87,27.48,25.19,23.32,22.5,21.92,21.22,20.62,20.03,27.39,37.0,8.1
2016-02-22 23:00:00,26.8,12.7,1016.7,327.0,264.0,5.0,340.0,234.0,1.24,-23.80675,-41.58717,149.0,67.0,59.0,10.836,98.82,83.8,31.2,12.1,27.49,19.74,27.49,26.19,23.98,22.6,21.97,21.29,20.56,19.75,27.39,37.0,8.1
2016-02-23 00:00:00,26.7,12.7,1016.3,311.0,318.0,16.0,347.0,236.0,1.3,-23.80648,-41.58708,103.0,41.0,78.0,10.732,100.78,85.0,31.1,7.1,27.46,19.59,27.43,25.7,23.38,22.73,21.62,21.04,20.17,19.56,27.39,42.0,8.3
2016-02-23 01:00:00,26.7,12.7,1016.1,315.0,308.0,15.0,7.0,228.0,1.25,-23.8063,-41.58705,113.0,23.0,38.0,10.958,100.32,84.0,31.0,15.0,27.46,19.11,27.44,24.85,23.03,22.46,21.55,20.86,20.06,19.52,27.39,40.0,7.9
2016-02-23 02:00:00,26.7,12.7,1015.8,318.0,357.0,38.0,65.0,224.0,1.13,-23.80615,-41.5869,100.0,18.0,47.0,10.789,101.48,82.9,30.9,11.1,27.44,18.83,27.41,25.12,23.08,22.15,21.75,21.0,20.14,19.55,27.39,38.0,7.7
2016-02-23 03:00:00,26.6,12.7,1015.6,315.0,7.0,45.0,13.0,229.0,1.37,-23.80608,-41.58685,186.0,74.0,54.0,11.189,101.28,83.2,30.8,11.1,27.44,18.91,27.45,25.4,23.51,22.57,21.92,21.03,20.49,19.59,27.39,36.0,7.6
2016-02-23 04:00:00,26.5,12.7,1015.5,307.0,349.0,67.0,300.0,230.0,1.28,-23.80612,-41.58675,162.0,48.0,19.0,11.479,101.79,82.6,30.7,11.1,27.43,19.17,27.4,24.9,23.94,22.8,22.16,21.11,20.48,19.62,27.39,28.0,8.0
2016-02-23 05:00:00,26.6,12.7,1015.9,317.0,345.0,14.0,307.0,227.0,1.37,-23.80615,-41.58687,176.0,25.0,49.0,10.569,102.01,81.8,30.6,6.4,27.4,19.22,27.4,25.05,24.12,23.15,22.12,20.9,20.28,19.54,27.39,30.0,8.0
2016-02-23 06:00:00,26.6,12.8,1016.2,319.0,320.0,47.0,58.0,218.0,1.33,-23.80612,-41.58707,128.0,15.0,13.0,10.727,100.94,81.7,30.7,11.1,27.39,19.01,27.38,24.99,23.81,23.08,22.54,21.79,20.85,20.47,27.39,29.0,9.2
2016-02-23 07:00:00,26.6,13.8,1017.1,321.0,326.0,299.0,349.0,213.0,1.33,-23.8059,-41.58723,198.0,41.0,38.0,10.736,100.55,81.1,31.0,6.4,27.38,19.87,27.38,27.16,24.06,23.64,22.7,22.22,21.05,20.35,27.39,26.0,8.5
2016-02-23 08:00:00,26.7,13.8,1017.7,318.0,344.0,303.0,6.0,214.0,1.19,-23.8058,-41.58732,224.0,61.0,86.0,10.376,100.54,81.1,31.9,6.4,27.39,19.96,27.38,27.2,23.88,23.59,23.2,22.16,22.15,20.92,27.39,31.0,8.3
2016-02-23 09:00:00,26.7,13.8,1018.0,324.0,331.0,248.0,265.0,210.0,1.24,-23.80567,-41.5874,223.0,146.0,32.0,10.953,98.95,80.8,32.9,8.2,27.38,20.13,27.37,27.17,24.31,23.62,23.05,22.36,22.14,21.29,27.39,30.0,8.8
2016-02-23 10:00:00,26.7,13.3,1018.3,313.0,339.0,266.0,338.0,208.0,1.28,-23.80557,-41.58745,269.0,124.0,101.0,10.897,98.696,81.1,33.8,6.7,27.41,20.02,27.35,25.59,23.65,23.16,22.73,22.24,21.71,20.28,27.39,23.0,8.4
2016-02-23 11:00:00,26.8,13.3,1017.7,301.0,329.0,306.0,357.0,203.0,1.23,-23.80568,-41.58757,355.0,58.0,159.0,11.057,98.611,82.0,34.4,6.0,27.42,19.43,27.36,26.94,23.83,23.06,22.31,22.21,21.19,20.17,27.39,30.0,9.2
2016-02-23 12:00:00,26.9,13.3,1017.5,299.0,323.0,283.0,48.0,206.0,1.24,-23.80572,-41.58758,293.0,149.0,122.0,10.951,97.422,82.6,34.9,5.8,27.45,19.53,27.39,26.81,23.52,22.98,22.03,21.64,20.94,20.17,27.39,32.0,8.7
2016-02-23 13:00:00,27.0,13.3,1017.0,309.0,321.0,313.0,64.0,207.0,1.23,-23.8058,-41.5876,255.0,106.0,83.0,10.788,97.44,81.7,35.2,15.0,27.49,19.06,27.41,27.2,23.88,22.93,21.89,21.64,20.58,20.06,27.39,29.0,9.0
2016-02-23 14:00:00,27.0,13.3,1016.9,309.0,325.0,239.0,33.0,206.0,1.27,-23.80585,-41.58757,344.0,129.0,92.0,10.701,97.152,81.1,35.6,5.8,27.54,19.49,27.44,27.35,26.07,22.98,21.82,21.32,20.41,19.74,27.5,32.0,7.8
2016-02-23 15:00:00,27.1,13.3,1016.1,308.0,319.0,269.0,19.0,212.0,1.28,-23.80597,-41.58753,365.0,174.0,62.0,10.914,97.899,81.0,36.0,6.5,27.54,19.03,27.45,27.34,25.59,22.96,21.87,21.26,20.22,19.68,27.5,38.0,9.3
2016-02-23 16:00:00,27.1,13.3,1015.8,296.0,310.0,274.0,254.0,215.0,1.29,-23.80617,-41.58763,277.0,103.0,30.0,11.276,96.529,81.3,36.1,5.8,27.59,19.0,27.47,27.33,25.56,23.06,22.3,21.28,20.44,19.82,27.6,41.0,9.3
2016-02-23 17:00:00,27.2,13.3,1015.5,298.0,316.0,314.0,336.0,228.0,1.21,-23.80638,-41.58762,338.0,94.0,67.0,10.506,96.385,81.7,35.7,6.9,27.56,19.27,27.46,27.3,25.81,23.08,22.24,21.16,20.49,19.98,27.6,45.0,9.6
2016-02-23 18:00:00,27.1,12.9,1015.4,300.0,310.0,42.0,47.0,236.0,1.29,-23.80648,-41.5876,216.0,87.0,51.0,10.616,95.78,82.2,34.8,6.4,27.52,19.32,27.43,27.28,26.2,23.12,22.54,21.78,20.68,20.17,27.5,48.0,9.7
2016-02-23 19:00:00,27.1,12.8,1015.8,308.0,307.0,299.0,309.0,241.0,1.16,-23.80642,-41.58772,283.0,33.0,70.0,11.0,94.805,81.0,33.6,6.5,27.5,19.75,27.46,27.19,25.64,22.93,22.3,21.55,20.61,20.17,27.5,52.0,9.2
2016-02-23 20:00:00,27.2,12.7,1016.7,312.0,294.0,259.0,172.0,252.0,1.18,-23.80647,-41.58778,404.0,314.0,74.0,10.697,93.916,80.0,32.7,6.7,27.47,19.97,27.45,27.26,25.34,22.95,22.8,21.9,21.16,20.63,27.5,53.0,8.8
2016-02-23 21:00:00,27.2,12.7,1017.2,306.0,277.0,286.0,272.0,247.0,1.14,-23.80643,-41.58773,482.0,87.0,31.0,10.687,94.745,80.3,32.0,6.2,27.45,20.11,27.41,26.95,23.45,23.17,22.57,21.88,21.11,20.62,27.39,52.0,8.7
2016-02-23 22:00:00,27.1,12.7,1017.3,314.0,276.0,305.0,280.0,244.0,1.12,-23.80643,-41.58772,454.0,46.0,143.0,10.869,94.856,80.9,31.5,6.9,27.43,20.11,27.42,27.12,24.3,23.0,22.35,21.76,20.94,20.55,27.39,47.0,8.3
2016-02-23 23:00:00,26.8,12.7,1017.1,318.0,277.0,308.0,250.0,238.0,1.17,-23.80638,-41.5877,499.0,170.0,228.0,10.829,95.46,82.6,31.2,7.1,27.43,20.08,27.4,27.1,23.94,22.73,22.04,21.53,20.94,20.65,27.39,37.0,7.6
2016-02-24 00:00:00,26.7,12.7,1016.6,316.0,286.0,257.0,268.0,229.0,1.17,-23.80637,-41.58767,415.0,79.0,109.0,10.777,96.337,83.2,30.9,13.4,27.43,19.93,27.38,26.88,23.35,22.05,21.5,21.0,20.65,20.1,27.39,34.0,6.9
