date,ate,bat,bp,con,dir1,dir2,dir3,dp,hs,lat,lon,mag1,mag2,mag3,psbe10,psbe100,rh,tdl,tp,tsbe10,tsbe100,tsbe20,tsbe30,tsbe40,tsbe50,tsbe60,tsbe70,tsbe80,tsbe90,tsup,wd,ws
2016-02-23 17:00:00,27.20,13.30,1015.50,298.00,316.00,314.00,336.00,228.00,1.21,-23.81,-41.59,338.00,94.00,67.00,10.51,96.39,81.70,35.70,6.90,27.56,19.27,27.46,27.30,25.81,23.08,22.24,21.16,20.49,19.98,27.60,45.00,9.60
2016-02-23 18:00:00,27.10,12.90,1015.40,300.00,310.00,42.00,47.00,236.00,1.29,-23.81,-41.59,216.00,87.00,51.00,10.62,95.78,82.20,34.80,6.40,27.52,19.32,27.43,27.28,26.20,23.12,22.54,21.78,20.68,20.17,27.50,48.00,9.70
2016-02-23 19:00:00,27.10,12.80,1015.80,308.00,307.00,299.00,309.00,241.00,1.16,-23.81,-41.59,283.00,33.00,70.00,11.00,94.81,81.00,33.60,6.50,27.50,19.75,27.46,27.19,25.64,22.93,22.30,21.55,20.61,20.17,27.50,52.00,9.20
2016-02-23 20:00:00,27.20,12.70,1016.70,312.00,294.00,259.00,172.00,252.00,1.18,-23.81,-41.59,404.00,314.00,74.00,10.70,93.92,80.00,32.70,6.70,27.47,19.97,27.45,27.26,25.34,22.95,22.80,21.90,21.16,20.63,27.50,53.00,8.80
2016-02-23 21:00:00,27.20,12.70,1017.20,306.00,277.00,286.00,272.00,247.00,1.14,-23.81,-41.59,482.00,87.00,31.00,10.69,94.75,80.30,32.00,6.20,27.45,20.11,27.41,26.95,23.45,23.17,22.57,21.88,21.11,20.62,27.39,52.00,8.70
2016-02-23 22:00:00,27.10,12.70,1017.30,314.00,276.00,305.00,280.00,244.00,1.12,-23.81,-41.59,454.00,46.00,143.00,10.87,94.86,80.90,31.50,6.90,27.43,20.11,27.42,27.12,24.30,23.00,22.35,21.76,20.94,20.55,27.39,47.00,8.30
2016-02-23 23:00:00,26.80,12.70,1017.10,318.00,277.00,308.00,250.00,238.00,1.17,-23.81,-41.59,499.00,170.00,228.00,10.83,95.46,82.60,31.20,7.10,27.43,20.08,27.40,27.10,23.94,22.73,22.04,21.53,20.94,20.65,27.39,37.00,7.60
2016-02-24 00:00:00,26.70,12.70,1016.60,316.00,286.00,257.00,268.00,229.00,1.17,-23.81,-41.59,415.00,79.00,109.00,10.78,96.34,83.20,30.90,13.40,27.43,19.93,27.38,26.88,23.35,22.05,21.50,21.00,20.65,20.10,27.39,34.00,6.90
2016-02-24 01:00:00,26.70,12.70,1015.70,303.00,280.00,103.00,323.00,230.00,1.14,-23.81,-41.59,344.00,39.00,56.00,10.88,96.83,83.30,30.80,7.10,27.42,19.59,27.40,26.27,23.28,22.43,21.63,20.84,20.57,20.11,27.39,36.00,7.60
2016-02-24 02:00:00,26.60,12.70,1014.90,319.00,289.00,347.00,301.00,223.00,1.32,-23.81,-41.59,376.00,39.00,81.00,10.68,97.56,83.40,30.70,6.40,27.42,19.65,27.41,25.58,23.12,22.45,21.83,20.76,20.45,20.07,27.39,35.00,8.50
