date,ate,bat,bp,con,dir1,dp,hs,lat,lon,mag1,psbe10,psbe100,rh,tdl,tp,tsbe10,tsbe100,tsbe20,tsbe30,tsbe40,tsbe50,tsbe60,tsbe70,tsbe80,tsbe90,tsup,wd,ws,mag2,mag3,dir2,dir3
2016-11-06 00:00:00,22.70,12.30,1022.70,292.00,42.41,25.00,1.48,-23.81,-41.58,109.71,12.23,110.46,83.00,26.30,9.80,22.42,16.35,22.13,21.04,19.72,19.38,18.39,17.94,17.29,16.82,22.70,19.00,2.70,0,0,0,0
2016-11-06 01:00:00,22.70,12.30,1022.40,292.00,358.64,40.00,1.40,-23.81,-41.58,168.05,12.12,110.74,82.30,26.30,9.40,22.39,16.67,21.91,21.26,19.79,19.30,18.22,18.00,17.77,17.00,22.89,21.00,3.00,0,0,0,0
2016-11-06 02:00:00,22.80,12.30,1021.60,294.00,357.80,40.00,1.33,-23.81,-41.58,52.04,12.21,110.08,80.60,26.20,9.80,22.26,16.92,21.88,21.10,20.50,19.37,18.91,18.22,18.00,17.20,22.89,44.00,3.80,0,0,0,0
2016-11-06 03:00:00,22.80,12.30,1020.90,297.00,21.32,49.00,1.39,-23.81,-41.58,44.01,12.00,110.15,80.90,26.20,10.20,22.70,16.70,22.00,21.00,20.03,19.26,18.39,18.27,17.82,17.05,22.89,46.00,4.90,0,0,0,0
2016-11-06 04:00:00,22.90,12.30,1020.50,292.00,305.13,28.00,1.37,-23.81,-41.58,33.02,12.06,110.74,76.70,26.20,9.80,22.75,16.41,22.13,21.10,20.12,19.91,18.88,18.33,17.40,16.82,22.89,46.00,5.60,0,0,0,0
2016-11-06 05:00:00,22.90,12.30,1020.40,301.00,185.04,42.00,1.34,-23.81,-41.58,34.13,12.58,109.72,78.80,26.20,7.50,22.76,16.44,22.23,20.91,20.08,19.92,19.12,18.43,18.27,17.10,22.89,47.00,4.50,0,0,0,0
2016-11-06 06:00:00,23.00,12.30,1020.30,300.00,142.65,48.00,1.22,-23.81,-41.58,47.80,12.19,110.44,76.50,26.30,9.80,22.73,16.31,22.00,20.53,20.02,19.71,19.32,18.50,17.85,16.99,22.89,46.00,5.90,0,0,0,0
2016-11-06 07:00:00,23.10,12.70,1021.00,302.00,120.72,47.00,1.13,-23.81,-41.58,123.31,12.03,109.69,76.90,26.50,7.30,22.85,16.50,22.26,20.53,20.29,19.73,19.10,18.57,18.42,17.49,22.89,51.00,5.90,0,0,0,0
2016-11-06 08:00:00,23.10,13.10,1021.80,306.00,90.00,61.00,1.27,-23.81,-41.58,23.00,11.99,109.69,76.10,27.00,8.20,22.84,16.22,22.28,20.90,20.51,19.60,18.72,18.69,18.09,17.03,22.89,52.00,5.10,0,0,0,0
2016-11-06 09:00:00,23.10,13.20,1021.90,312.00,101.85,56.00,1.32,-23.81,-41.58,146.11,11.94,111.18,77.60,27.80,9.40,22.82,16.88,22.20,20.91,19.96,19.65,19.12,18.61,17.91,17.31,22.89,49.00,5.40,0,0,0,0
2016-11-06 10:00:00,23.20,13.50,1022.00,313.00,93.17,71.00,1.23,-23.81,-41.58,217.33,12.44,110.53,77.10,28.60,8.50,22.88,16.60,22.36,21.15,20.12,19.55,18.70,18.49,17.71,17.23,22.89,48.00,5.60,0,0,0,0
