date,ate,bat,bp,con,dir1,dir2,dir3,dp,hs,lat,lon,mag1,mag2,mag3,psbe10,psbe100,psbe40,psbe70,rh,tdl,tp,tsbe10,tsbe100,tsbe20,tsbe30,tsbe40,tsbe50,tsbe60,tsbe70,tsbe80,tsbe90,tsup,wd,ws
2016-06-24 00:00:00,22.9,12.7,1018.4,442.0,233.0,177.0,184.0,66.0,1.96,-24.01087,-41.34118,278.0,169.0,186.0,11.048,101.56,41.419,71.275,69.9,25.4,6.98,23.97,21.76,23.97,21.57,24.01,24.01,24.06,24.2,24.21,22.61,24.0,230.0,0.9
2016-06-24 01:00:00,22.9,12.7,1018.4,449.0,200.0,153.0,147.0,78.0,2.11,-24.01093,-41.34135,239.0,181.0,163.0,10.870999999999999,101.25,40.26300000000001,70.531,69.9,25.4,6.519,24.01,21.87,24.01,21.57,24.02,24.09,24.14,24.33,24.28,22.79,24.0,230.0,0.9
2016-06-24 02:00:00,22.9,12.7,1018.4,457.0,239.0,73.0,298.0,87.0,1.97,-24.01083,-41.3411,152.0,10.0,44.0,11.609000000000002,101.93,40.66,71.178,69.9,25.4,6.489,24.07,21.75,24.08,21.57,24.15,24.13,24.35,24.32,23.1,22.28,24.0,230.0,0.9
2016-06-24 03:00:00,22.9,12.6,1018.4,457.0,233.0,24.0,311.0,90.0,2.15,-24.01085,-41.34087,204.0,22.0,11.0,11.088,102.31,41.536,71.013,69.9,25.3,6.94,23.97,21.53,23.98,21.57,23.99,23.98,24.0,24.32,23.25,21.99,24.0,230.0,0.9
2016-06-24 04:00:00,22.9,12.6,1018.4,450.0,229.0,194.0,198.0,85.0,1.92,-24.01072000000001,-41.34093,247.0,69.0,111.0,11.196,101.15,39.819,71.429,69.9,25.3,6.15,23.88,21.65,23.88,21.57,23.9,23.99,24.11,24.34,23.74,22.31,24.0,230.0,0.9
2016-06-24 05:00:00,22.9,12.6,1018.4,450.0,218.0,192.0,196.0,95.0,1.91,-24.0107,-41.3412,235.0,120.0,162.0,11.635,101.36,41.076,71.027,69.9,25.3,6.739,23.8,21.66,23.81,21.57,23.87,24.17,24.38,24.38,23.92,22.5,23.89,230.0,0.9
2016-06-24 06:00:00,22.9,12.6,1018.4,457.0,229.0,225.0,222.0,86.0,1.95,-24.01078,-41.34168,282.0,91.0,126.0,10.939,101.8,41.015,71.458,69.9,25.3,6.63,23.75,21.86,23.75,21.57,24.38,24.38,24.38,24.35,23.79,22.41,23.79,230.0,0.9
2016-06-24 07:00:00,22.9,13.0,1018.4,479.0,219.0,207.0,206.0,71.0,1.96,-24.01107,-41.342420000000004,318.0,101.0,126.0,11.163,100.94,41.615,71.1,69.9,25.3,7.269,23.83,21.6,23.87,21.57,24.38,24.37,24.39,24.29,23.22,22.25,23.79,230.0,0.9
2016-06-24 08:00:00,22.9,13.6,1018.4,506.0,227.0,,7.0,51.0,1.85,-24.01107,-41.34377,329.0,,36.0,10.741,101.6,41.032,70.563,69.9,25.8,6.119,23.99,21.96,24.02,21.57,24.36,24.41,24.33,24.36,23.15,22.42,23.89,230.0,0.9
2016-06-24 09:00:00,22.9,13.9,1018.4,492.0,229.0,,,29.0,1.95,-24.01107,-41.34435,426.0,,,11.241,101.26,41.033,71.682,69.9,27.0,6.42,24.07,21.97,24.08,21.57,24.51,24.44,24.4,24.27,22.87,22.46,23.89,230.0,0.9
